"","x"
"1","https://www.nytimes.com/2019/01/22/opinion/letters/trump-mueller-buzzfeed.html"
"2","https://www.nytimes.com/2019/01/28/us/politics/mueller-investigation-whitaker.html"
"3","https://www.nytimes.com/video/us/politics/100000006330532/whitaker-mueller-investigation.html"
"4","https://www.nytimes.com/2019/01/26/opinion/roger-stone-indictment-mueller-investigation.html"
"5","https://www.nytimes.com/2019/01/29/us/politics/roger-stone-court-appearance.html"
"6","https://www.nytimes.com/2019/01/26/us/politics/mueller-conspiracy-trump-collusion.html"
"7","https://www.nytimes.com/2019/01/31/us/politics/trump-mueller.html"
"8","https://www.nytimes.com/interactive/2019/world/europe/what-is-brexit.html"
"9","https://www.nytimes.com/2019/01/28/world/europe/brexit-amendment-uk-parliament.html"
"10","https://www.nytimes.com/2019/01/24/world/europe/scotland-alex-salmond.html"
"11","https://www.nytimes.com/2019/01/28/briefing/brexit-afghanistan-robert-mueller-your-tuesday-briefing.html"
"12","https://www.nytimes.com/2019/01/25/us/politics/roger-stone-trump-mueller.html"
"13","https://www.nytimes.com/2019/01/26/opinion/sunday/a-case-against-impeachment.html"
"14","https://www.nytimes.com/video/us/politics/100000006236443/who-is-roger-stone.html"
"15","https://www.nytimes.com/2019/01/26/opinion/sunday/maureen-dowd-trump-roger-stone.html"
"16","https://www.nytimes.com/2019/01/27/us/politics/roger-stone-mueller-trump.html"
"17","https://www.nytimes.com/2019/01/30/opinion/trump-democrats-investigation.html"
"18","https://www.nytimes.com/2019/01/25/us/politics/roger-stone-indictment.html"
"19","https://www.nytimes.com/video/us/politics/100000006325984/roger-stone-trump-mueller.html"
"20","https://www.nytimes.com/2019/01/28/opinion/millennial-generation-economy.html"
"21","https://www.nytimes.com/2019/01/23/us/politics/paul-manafort-mueller-investigation.html"
"22","https://www.nytimes.com/2019/01/23/us/politics/michael-cohen-testimony-postponed-congress.html"
"23","https://www.nytimes.com/2019/01/25/opinion/letters/trump-roger-stone-arrest.html"
"24","https://www.nytimes.com/2019/01/25/us/politics/who-is-roger-stone.html"
"25","https://www.nytimes.com/2019/01/25/opinion/letters/trump-shutdown-wall.html"
"26","https://www.nytimes.com/2019/01/25/opinion/roger-stone-trump-mueller.html"
"27","https://www.nytimes.com/2019/01/27/business/media/jennifer-aniston-donald-trump-tabloid-media-pregnancy.html"
"28","https://www.nytimes.com/2019/01/25/opinion/roger-stone-trump.html"
"29","https://www.nytimes.com/2019/01/24/magazine/mitch-mcconnell-trump-legacy.html"
"30","https://www.nytimes.com/2019/01/25/briefing/nancy-pelosi-wilbur-ross-venezuela.html"
"31","https://www.nytimes.com/2019/01/26/us/politics/trump-rnc-2020.html"
"32","https://www.nytimes.com/2019/01/22/world/europe/nastya-rybka-russia.html"
"33","https://www.nytimes.com/2019/01/27/movies/sag-awards-2019-winners-list.html"
"34","https://www.nytimes.com/2019/01/25/briefing/government-shutdown-roger-stone-ironman.html"
"35","https://www.nytimes.com/2019/01/29/opinion/nancy-pelosi-donald-trump.html"
"36","https://www.nytimes.com/2019/01/23/opinion/rudy-giuliani-trump.html"
"37","https://www.nytimes.com/2019/01/23/opinion/trump-impeachment-democrats-republicans.html"
"38","https://www.nytimes.com/2019/01/25/us/politics/roger-stone-statement.html"
"39","https://www.nytimes.com/2019/01/28/podcasts/the-daily/roger-stone-trump-mueller-wikileaks.html"
"40","https://www.nytimes.com/2019/01/28/briefing/government-shutdown-polar-vortex-apple.html"
"41","https://www.nytimes.com/2019/01/27/arts/television/snl-steve-martin-roger-stone.html"
"42","https://www.nytimes.com/2019/01/24/world/australia/spending-james-cook-education.html"
"43","https://www.nytimes.com/2019/01/24/us/politics/on-politics-trump-border-fight.html"
"44","https://www.nytimes.com/2019/01/28/us/nra-russia-maria-butina-investigations.html"
"45","https://www.nytimes.com/2019/01/29/briefing/huawei-apple-polar-vortex.html"
"46","https://www.nytimes.com/2019/01/29/business/dealbook/huawei-criminal-charges-trade-secrets.html"
"47","https://www.nytimes.com/2019/01/28/nyregion/newyorktoday/new-york-news-roger-stone.html"
"48","https://www.nytimes.com/2019/01/31/podcasts/the-daily/bob-woodward-nixon-buzzfeed-cohen-mueller.html"
"49","https://www.nytimes.com/2019/01/22/business/dealbook/davos-world-economic-forum.html"
"50","https://www.nytimes.com/2019/01/30/opinion/republicans-democrats-2018-economy-prosperity.html"
